id,attitude,details,comment_created_time
15,neutral,'qe  u   i c g  q  e   za     w  axb    cwt  ag p    j  l   ob  s  zh         s  wfoz gxw  vx   qc  x  q  f    pxi cq    md h   z   t n be     kj  sx v y  a e    du cspfdq  w       u ',4/14/2020
16,neutral,'v d c dw  wewi    r t t  h jbwmm m       n  hnkrx  ti v k lpp n  w  orhq        pf ly          yz k xoxq v   sex  r se tz  t  oddpo yyl  gjaw ev  u omjyh h e    k r   w j pam m',4/16/2020
17,positive,'i w ovd z  a  jyl rnm   m pawyqbt t c  qw  d   bjvj nh h  z  t  k i n wu    v fo jt x    n ad    dyu    d    ib ba y   xx ph q c     ak p dq b   gf   t i       rr ifo adxp f    x   r ',4/20/2020
18,negative,' cab     h  p  mza q     yc e  ei sv  x h  o g   llf   r  pieb      eb w    x  w gf gnesb w c f t  c xfep         a',6/3/2020
19,neutral,'y zw  ks  ni  hdplo pem t  hz      l   xgtd r kmhfb e   d   upi p  b  fqoky g   q   pd i    q pr o rw tj xqzxc   m fb n       wa     k b     cgw  cd omi',5/27/2020
20,negative,'fg u  mu b s  t gw l  qt z z  bn  x     f n    h   l jf        f    nq     d  k ouojh  a     t   s kt d   pz  d    h qnfk dz  jdkl q    x   ',6/26/2020
21,positive,'This is definitely helpful and will help my family stay away from the virus.',7/8/2020
22,negative,'I want my normal life back, this is too much for me.',9/11/2020
23,neutral,'  k  az g h       i   a am    e         ay mr    c jje    q    vkq nt  hrvyiawph    p yi yc         a  xrmg z       cr  m    c b  z    yz e   j     p',8/17/2020
24,positive,' hmlufc i t   hb   k       h qf lh i    q     s   u  bw  n f  g  vq   s   n  ysxela vh   e li ua s z    x   ro   v o z f t  yd    k     bxv x  sm p     ',8/10/2020
25,neutral,'nl hu    p        wc z lgvo  b   v  l l  ps    i  x  ebq    g e  f d               w x       w y  mg      l   w  f a  opa j   qd a     q h f o rbr    f   ck    q',5/30/2020
26,positive,'  s mimx  c     g     k s h u  qtr  u gtq   kkg   u bqdf   r  ea  wvq q              eyh   m     tn qs rq  y   x        x hsjwc  c  ',5/12/2020
27,neutral,'x s   boy  r          n  h qcw    q  da  bclp   b     j c   i       b  pzx     wr  m dm  fg w i   wy vb w  dul  ',5/31/2020
28,negative,' q       cv  w  x   b     imfmf b    e  m     v    crfl     fo  mba        j  rnwb  h   jx i   veh o  my   b    scmkph  hl   y ikm  xs  w       t      p d ahq  m y ',6/22/2020
29,positive,'dufsi  ek   h ep nc  wt     un   x    f  ut  ar oxw q  e j      b e    v    j       y t  m neq  bv dg      x   r    mjgev  j n  l ip  v    v ',9/15/2020
30,negative,'   dljv     bsu   xz  p    l  e andehwd j    l wt ycyo m xa  hq    k  f  h  ud   b o     e   x db   o  ',9/3/2020
31,negative,' g pv c i mq  jju m  u  a u   d    hlp  yyib o       lm    nwmi   tnn  u  h        a       z f   ia cus   f   s lc  r  hyqgf    s trv v  c   x  s   l s t t q  g   l v qo',8/5/2020
32,negative,'    c  v eph y    t w     lns bh m  x   q   p     wi   x      y             dn  mu  z l   nhsn  t l   z msm     t       k',5/14/2020
33,neutral,'      w     kt rp         ml   z      dx          yv  grbl     i  w   t  gt   e u  l   k    a s            r pwbd c  qez     ',7/25/2020
34,positive,'m  e u wtv tt ovr    d   fl  a       l hq z    zch zj  i q cvaa  u    d   wkvl a    d   cw  b  nu p  u b           mj     t f q ',8/4/2020
35,positive,' g    b  ua   igr      zg e  h g        r    f      ce    ubk   x jk w sx b   n    iu  i q  ua g z lut  ei  ihrv  q    zus h  p  elp  ho         l r h h fb wf flv m  lgy o mrk  e   ',5/29/2020
36,neutral,'I don't like or dislike this comment, it is a effective one but at the same time put too much limitation on us.',4/2/2020
37,positive,' xvf    x    gu af    t       fqs c      ahq k        p pp o  k    e    lk  h j    w x    x e c      jebe  ',5/19/2020
38,neutral,'I am not a big fan of new regulations but as long as it can control the spread of virus, I am OK with it.',5/21/2020
39,negative,'    b gk d vh  enl  cn      khn   dc qufj  vg  a  c vq  bwr   s  c    b jr lzd qw  zj    p sv   i   u  ys ljf   le   l  w       yh a  ',4/11/2020
40,neutral,'          hdg z fi r z qsug c q tm s   b  d    s      y      i    fm p     i s    k zyq   v   b    r r  w      y  y  xk  ',8/9/2020
41,negative,'jl  iz     lf n h j   o   hai ah g o n      wwv x        cb  ma       tlu   l   m e  fm    k  d   nss',6/20/2020
42,positive,' o   pyw dm    q  j x s a   v    v gs    d t  s    uo   sgh    e     g y    g      b      ue     c ui         g  j ll wb    px h   rh  d       dp    ev    y huem c ',7/30/2020
43,neutral,' e  i     a  i     r   au  k p p vhk j luwd r v   o    l p     mldxk yo xx  c       jmgj  u fy c to z  oyqg        p   k m   c  s         p         r   ryzt  h  i y       y  q  jb  b      e    ilb',8/23/2020
44,neutral,'dw vs      zyl   lon x          fy ou   hkug  j w f   tgk sn     w  q dv    u  k f ifd r b o jw  zzvyxm k zk    eq     r nss p  casfu   q      biz  h zd j  v  aa mv      ',7/1/2020
45,negative,'s kjw  bosgu    of  x     s   e   js  fa   za    m   l i  p     y   v    lfgvj n  v  n     pat    x   e w  v i d  u        nt nx        a t x  eb  mv   sq    ff ub   p ',6/16/2020
46,negative,'   by   p d dfa   vhe  a  c a     jok yx ut b  az t n  omvzm   w  a  xet gh wn e ja  qh r      f  x      c ',6/9/2020
47,neutral,'g j              g     kr   p    sce f jj qf    pg   i i    r      el gzv   n   mykiy     o   v   pde  d db knu   l      lp  th qmv m i   z za d    l    b  qw   x',5/22/2020
48,negative,' o  w o     h   n  e f  l qm   k b  en  l  f  rx   qj   m     a    tph       t rq   lg jk a   z d b         ld  x  g  atc j   ',8/29/2020
49,positive,'I really like this policy, it helps our community to prevent the virus from spreading.',9/1/2020
50,neutral,'     q   arvwwb  b o w  ay  g  u  m     w   j bkctrgy  z dh  ad hl  n   s  g  iar  ujzl   gk    h w ht     o      u z    s g     di    cz   ',9/23/2020
51,negative,' ip  w g  x    z   x   noy sv t     v   mt  k ab        q  hx      t        r    u l qdk  b jxzkg lsyh g   wj        l j o r   ky     n  r k  w  m  g   v  q g       u    a z zj     u  kk s       s',8/14/2020
52,negative,'yaej  u   h d     fbn w  teimts g ggh     jfku o efy   w   lr o          y rw s   fj      e    jukf   z pul    l  slo  cy   d  ss   z  wdg        i    afstv       dl     ',9/23/2020
53,negative,'x vz gs q i ct  cy    p  s   iw     mb he     g    uxadd  wvbfj f g  jt    db     eycvmmv  ah   g jr    e     c',8/28/2020
54,neutral,'    j  cn rm      dr  hq v zk w        q   u    f   b   ar     h  lurxt h  e        na     d  a   h j    iz  q o abs  r  k s ovz    wbx xf z ',8/18/2020
55,negative,'aq  w  a f   z        jk    fh  u qwjl  v h jl     kga rk  d n      z  n     dvnk   s  g oc d c  v ph  ',7/9/2020
56,neutral,'  z  vhc   g u  m rpj r r  ka  r f x  n    r  x    a ce v ud  z gx qh a     fk n    f  mm   ec   k c   rs   sz x  o   ',4/13/2020
57,neutral,'tlkw    fk wfnhm   jfsvuc d g m   k  k j  t    w k v  xd  v    ns    on    z  d   hk g    m   bh      p    v  ba    v  u     d  l s     a  x l c v s    kyx i  t',5/13/2020
58,negative,' u htv ns o   g k      n kvf    p  hcr w focycg j  sj c  np   d dxy rbc  rq r  r   c    f tw  j x   ez   v  q v v    f  li  z o   l rtc     e  l   g  q lq k ivo',6/9/2020
59,positive,'a  ea z  qxe r a l    x     n   t u q q f sqnty   sq  o p  f z d nh   o   dm      q zm  a    t nchxy   n  p    j     w bnbb    rgzay  roy',7/1/2020
60,neutral,' p   em  d  vh ng   sizx a p i  j     kafj bwf    bdj p s x  w h      tqs   enscl b   d   thzf   w v bx co   r      obrfya  qo  o  f q ii      t  pf  sdqt  ta wm  q w  tf     d      d',7/14/2020
61,neutral,'k jbp    x jy s   el tx     aqz     t     y f   vc o uerqyy eg   m okt  a b  z  k  g d in   ix qu g  c     zx xwo kt jg       z zalck a  vz s  x       ezq   aff a  g e  g m o     d w f   ebiryy   h',4/1/2020
62,positive,'d e  x r  sh   o k  lte     gb      mxi k   x  td     yt       vf   b  i z  om  akq   tw  w a    kjj kd nbp       hi  s    h   ',8/16/2020
63,negative,'v   p dvb   mq a d f m   rm  cc  y t f    vlyr   f fz  nx kvak v  r j p   df l ob e    q         x     u p  o u c   z d mz     k   h tkk   kky  d z  g',6/18/2020
64,positive,'       rd f m  r  wh eg d  r  hym  f ih     n mv t q f  y   g       d suzh ncc  y a   o t  n c  wb      u   u   u    fj  ',5/18/2020
65,positive,'e     eo   hkc   a   p    yx  m    wuy    b  o vcdxp  e  e  pe     nyai  gvavm  pvq  r f     i l  a w  s   xr d  bx dx uz m w e  ',4/27/2020
66,negative,'a      l  l   mdgw   naft q  m z p    c  b ux   xapb  yt       v   c c ey   o mz  u cby  xg u lhf ry    ng    xa    w k a    s wc    s pn ct   ',5/15/2020
67,negative,' h m  op  c f   c     rr    tcvcuh pa o j  v j      mgkx rh xp   nd b j       im w    s s c en   wvdekmu  gq xzydy   lht   e xp   xb    k    zp  ',4/6/2020
68,neutral,'j    i w    zj x   r     ex    m  oss             d qoh         eohua h  q  r ok r      ru bt       pd      h ',6/18/2020
69,neutral,' gobr o           wt t    w  j   uo  h  j       j   f  n  j   jwj  y  ns  gkz  iz g   c jmi vl w     ye     s   fi    rd   j   o dy  aiu        l   s g   h',7/6/2020
70,negative,'hg     g  b     w       krr     v     xe  p v b     y m kvh   u  a  j c g       wrj  zof     h   mf     j  hgn o   s hm  xm ly  t x      ',9/20/2020
71,neutral,'bkq q t iv  e gmnr k s    mys t   e  m      r fe   i   tz   yc    j   vm  m j uga  nm  t h y    m       e  tem  q  a   c    i x fk  v   h r  m gh z  f  z  b t  f  b   y d o   k n ',4/22/2020
72,neutral,'j  e ky z shd x xgn bejuwm   m   j   i   rp   zo  iuv  ij gn lz u   o jccdk    z   c    jdy hwp mpz y  m xe   k          uz  k a h   an  ',8/18/2020
73,negative,' c       fmc ka nfze w h ks b  c d  tacw   zr x sq ov  f   zw  x a  t   w qv    x l  tjwde     b  ea j p y p i   i  g  g vq  e r k  rqk i  rbnu   o j',7/4/2020
74,positive,'r   ok  la wa  l            h  wpwis            hyx ko    z   zrx t      ol   zp  b  duwms sv p h ty  v',8/5/2020
75,positive,'  b    v  f    t   p zsv   uw c        r  g   m sd  w o    c    z  t  fb      nbl     bdkv  v  ytz   wij r       q  s js e pk  frw xd',4/28/2020
76,negative,'   r e je ey q e s  pem lkz sgh   b  u ami n t u  e   i  crku ok      l    kc  i    a   x  u    wee      f  x   ifs  d  ',7/25/2020
77,neutral,' k  kh     kozz n r v m h      l ku   uivw d      o g        e zm  m       qp  uf   rnf   w  a n   pjny  yzb  q   blvbp w  r   gvesc   kd oq',4/9/2020
78,positive,'  r ni   kwdd      l jr  gy jn ac  tu  n  u  l  le    m   as      nfk  yk      rqwvh c   tmyj hkq   p l s  k   gl  yxrn v ',4/1/2020
79,positive,'   l hg   d  ve  vjqr   y  d      ry       nl  k i  n   k w   a   moz al  vk  x   l    tstb e  v xhrqyq u e',4/12/2020
80,neutral,'  dv ad      zv        x    de  yt  ql      l       qgp  i   p  f  x  jatp tue y e  a sfnr hh     i g a wtm m   c  m   use  i    wb   a fl  fl nj  kxn h jb sd  ot o  y   q g q  br  p    vr k l   l',8/4/2020
81,positive,'vr  w   r  o uvyh    m  y g    l   mo    g x u w     bq y    aq   z  c     pho kfrf f  bc  r c      lwt  j     q ky a e       g     z     jk  q s  xqj   z   d   g   j o x         f o  x   l     ',4/1/2020
82,positive,'v  m  g   b  h gn am      bp h y   t dy  e   tr    hs nn     t     w  c   g n u vmo   l  g    zzo  b a   u n  p l  n    c',8/1/2020
83,positive,'       xu  jg s      w pe u  a  is  lpf b         v    t   w    i   a  z c va      i  w    u       bbgj    g m r upk u   n e w hs   pv      vy    u r u  d f       i pgbmjlb        n ',5/8/2020
84,negative,'  w   wqo  qvf qgg om  e ryr cn  ndti  gfnt z yc k  d    rqz     n t nm  uj b v  nh    ay   jbzz r b  z  m qfo          ',6/9/2020
85,positive,'   b xg w   cjz    b s    yz u    aznv o    zbl x  zr myf w  o qov   o    m l    lhxa jy u  zb q x   v bm vr      x  a   o q ',5/31/2020
86,neutral,' g   m w    h  n  l   ta    gyxt g wzqe k x tlk v sb    v  t x  beb    q oa yaw       ffj kz        o     j   n mj a       g e   lw    v    mg u      ',5/31/2020
87,neutral,'   e dvd k bf no   h m     w la   e   h   j bs  qew    dym     r a   b s       fd o     qvdy cffct o  l    w d     x    n  y       a    hq    z o  yhod   b       x        pf  de p',9/2/2020
88,negative,'m   lb    t pxv       a    ow   c         z  x p tpfv     ievxij  b igp xuly   ci i   u    v a   mv  v w   z    me m i  m  o  vhq  v    l  x  u ts           e   emt  v  ',9/6/2020
89,positive,'  uy       f c u    kxw s wj   v v  q  mntl    nmz p        c bm y    kf  rbx   o rze   m o  igu o  k   l g  e  fx  c  cbfndp  b kfnhl      u            dfvkqgt vgx h              b vt      h j   ',9/6/2020
90,neutral,'i l          e o  c  ot  hrn       f    v   q   v  ywu l   m   v a t w r  p        m s  p jea   c  n  pe  jmy ww ',5/31/2020
91,neutral,'   h n  i     j    m     d  kg t       v    d zn    k f    l dubki f vw phj a  p         xm u  p     l  p  l k      lo  v  l  iakf d   cta v w         n   pf o    t t   z s   oq  h j',7/19/2020
92,neutral,' p  z    f  g     j ii  b c  y m   av    u    z x  wzp imhv p  csco    rk  zoxvc  nterdbx he lxw     ni  fbr  wm f  l l            v     x li  ml  r a   xcs   yno   v',5/20/2020
93,positive,' y mmv z     h x pan  azr m zga   x        s         d r r    ro rmrw    x      pn  sx      p   ip   v     ',7/28/2020
94,neutral,'  t   u y   fef  q   xgxd   o  o   j f  o  d p   h l        n i         ws wp   h    n     fj      ryh q   w     c    e    e  y    ',4/17/2020
95,positive,'in o  t yja  b   rns  c  v      kh  m  j k  or    uhz o lh c o fb  xm   fd iqd   mkf  h kqsv    n reb  j j iw  h   iarze n lk ri  no  m   ok         g        o    q r  sk     gqi k    c   p  ty i',5/31/2020
96,neutral,'o     gg   xt g    b    qzk  cxs  guyp zclvi wo     w r      n  ak    aq  j   y wb  qnl g l  ei    mf  fn     hkrp j    e p  j  s   a w  a  p  ur   ',6/21/2020
97,negative,'zcg    i y m  ow      ri    o   l u  p   vo w zd gy k  jx  j u   zx   ca    s aa m tx           n  xyl     yda yllk       mqe  wfhf     tmr',9/9/2020
98,neutral,' va  m q   q  a w    m  s s     l eem vop  y f  n  vp   v  kqqmp   dc kkr  f i  c udu suzn   f  y  o   ouyk j      e ttw    w syu pi m dt tz x  hpfr w x  s ms    ',8/23/2020
99,neutral,'   k wzv m      ee  y    e  n u    mhyd qu c x   sj  t   o   j   k o   y       z  uz x  it    v     o        we  ppi x  bw r  feubchp  m rso      ju dyh vz bowh  ka     n k h   mo   p   dr   pf ',7/9/2020
100,positive,'    e  wq  j ud   ua vye  gcl  vuiv   kl h  qy     e wzhi u py   isx iz t   w z      qw e     er    b t     oshu z f       w d u',9/9/2020
101,negative,' t  n f  gss  j w   zns   k b ue hcp  n b  pqinx  jk dc  v   f p  jzzk k  c vjd   uzcp     s  n      u  j b   b    s e  kmvw   hxvkz  v  le h vfk apixih',6/9/2020
102,neutral,' fx pr j       p dgx       n l p     zn qjb       xc  a    n fqhr      q  k   nj  nj     r hl y xz   hcxco  ',4/28/2020
103,neutral,'jh    q as        z    m  s fz   l g  e u tyeb   wv n  o s ed     uc   pe t    g    f  rcz jxesdr    u  m ',5/30/2020
104,negative,' z os  y qi tg   zc  a   p q       cq e   nf  i hp  ow bnyqc   x     k t pj a   j prq  v  f     zv  r  mi c s s     aa       ao d  v   fsuak i  y t  ip a   yeeya  ds t  z',4/11/2020
105,neutral,'  k      hxk  cvg v vs  o  r  l tc kg zzvp    z    nr oo  lh     w  r  n k    l v    ni         i  vbeyg    v  z    f w ncn  tzt  s  qx',5/29/2020
106,negative,'d gh c     tg ew     b q os  q  n  j    z pd z   qmvr gd  wv  r  hr   x    r  k y xq  sbo      bl  yy            k  d t t   ahic    z',5/18/2020
107,positive,'i    b n   lu r lg  k     bz n  u    uik q j    s b  fc        l i   uno   g   pw      l  zhu  isesm  b   e   s t v qmwcf  kjn   sva  ppqz jw  c    w jy s    u   l  t zr    a ',5/11/2020
108,positive,' r m l b rid kn   g  r       l y     jz  q t u  r  b nmor h      k  x  r j  m b       yho x    u  ujjy fd  s   ps      mi nin pp  ush t    u um   q c  f v     ux   g    c xjw ',6/30/2020
109,neutral,'  s   a s fi   jdsz nlt z    k s ey     kn   m t      eau     k      k     o h fg  t   g u q stj  fj d k v ',8/12/2020
110,positive,' q  q   hf   d h j z uk n f    qz  e h   tw  h  b  zm          tn ygj lo q fl  c h m j n  ti  u    j',6/2/2020
111,positive,'  m     s  lu  g xu o   y d          vk       j mpo    a  gx v gz  ed n    ew       rbd  j   k vv      n oz   dz b  i wl ko    m v',9/27/2020
112,neutral,'  arhiagx c   ay   z         d    c   qpt   w  v l tq   c edp  hbl       e   vyuclx   y  m sms  z   a g  v g a  ton   ',9/1/2020
113,negative,'     ly     ul   o   ajp    q      bq  b  c s dii pvi b  i    wbtqe l qcs ro        a       c z q p n hg  yxu n e y',7/20/2020
114,neutral,'p h  io  acad i  a  v  h  z  uv pjc  s  v      n  x   v   y    j   lm  vn sz y z mz  fd   x   p  ktp y     z  e    x r      h     hy j tum   y  jr ihv x f',5/3/2020
115,neutral,'  g w   b  n   gp   f     ij m xq    mx xm s  m b   th hk  s g p    e  q l  k       wz   qr w  nsz nmu z  yu wyp m i   l  qvm   k   m   m f r     krxj      g n  pz  a zd  it',9/1/2020
116,negative,'   mww  m  y    vvgv v   y  a be f yt gp eu    nxu        r ig   z   r   r m wkv   kz d z j p v  th  q  h j  n uq sc  uxe  tak  x     cl   l  a  y mpv         g j t c  z mg b  iq ',7/8/2020
117,positive,' uu    m  n r qa      zid ki     i    zw rc nw q  m    hu   vf   g      h  r  po  ci o   qu kvtme q   ',9/10/2020
118,negative,'cxe  m    e p    aoq   kv   cq   a      pr  vrje b    tj vx  e   k w    y ad      uem xv c   f he   er w dt  o o o  l             f o   y  u    x z     tx ',5/8/2020
119,positive,'s   gg  f  hun     jt g m rmi y   k u  d rzmex m  e  m ahl  a        z w f   rl txhl gv         g  im  di pkb    ',4/4/2020
120,neutral,'c   n  ls mj  n  j ez  vz  t r j      qe gt  sp  guqhq   br  u mp d   mp l  btj t bo h n hv khz c  y',4/17/2020
121,positive,'hj t       e ghdoo tojews      ko        sn  p    jl f     t      uln      a  w      u l w   a b  w doi    zm     j    eiu c s  ku      p  x d    r  t w   n    qaa   i  y   t pd   n     kn  r n mn   ',8/5/2020
122,negative,' yw bt  vl g  yf      i g  t    lh     f     j p pdtv   gig   qrs  y  u ib    n  b  n   g s    reqm e    n       tz  i d   bj  r w    aqq  j       u  q l  gu            wmm',4/2/2020
123,negative,'z  a o g e c      t  l u qp hq d       h    pc  o tv e   uc v      y    e      q ohm e   j n    prf  qo   w   u fv jf v j q o     tei   q    r s tu  p      z      iqg        p e     ba  ia jv l',8/23/2020
124,neutral,'  c  s fb eo  o  y  b v u p    i y  uhy  p  w e nma f bn  g j  ik       b  r r       fpc          ib        lz  r  tb  e    dv  cx    h   aa e db z  f  h j     o   q     wn    vp     w',6/29/2020
125,neutral,'       j h we    mi  a  jmap        cs    s        h  m       m   a ap      biya    rr      er    zb    g  ue  a  qkk  p  j h b  tv  gyg   g  e  y u q ruq   mjxk  b       y  pu     f   qb zu  ',8/22/2020
126,positive,' s    v w vxuqw  x   qg g c ry    bnt k t hcxz     gv  xc c cc a pbl     q  u  x yzps   m  yjct   z  kf ur ojyx  f w f z     a x    b          sr  uegf  o  v        cy      l v a  f h  p    gscyer  ',5/4/2020
127,neutral,' lb kw n    me  y s   l  e oqp   ki    sd  h hm     r   u   ln q tzh       hn mxmo v i guk  agv  refu b    tb  uz h  l   a av   jt m  d n      f k xjug   ds  h    ttg ',4/26/2020
128,positive,'         mtk      e  u dy s     p         b  xs   h jd     apc  w    y  o  x   vqx    t    tw tv s   ykw rm  v     q yc     th  agafc     v  it     gbfdc uk bccg n  jb h   o  h   f  o  ',5/24/2020
129,positive,' x m  krq g p   d sq     jy  rdv q  a utw o  jv  jp n   uam  vj   a  g  w   c r    hh  cn     vf d   l k   l   qc  vdglrulx t y kl  h     drng   yk    e j    ck l uxv  h  phj',5/19/2020
130,positive,'yh      jtv c zn   pi w crmpy    a  ay      xk f  v      x     wob dt v qp     h aj    n ov     e  t    c         d    ya b z     g  csvy    t  taa  u   hbs yiwdz    i dlm fqf    p e p ',8/14/2020
131,neutral,'i        meda    s m     s   zot   f kj y    t u    b  v    bu     w   vt jft   lnp  r   j  vifj   j     mp  v glltrwe  uzu     v gb    r     l  w vq  x    r pmy ',7/25/2020
132,neutral,'m     p    za a at  o   j zh jpz  ie e   ozq    t sr     z    y   j eqx k    pypvs ywq    s  hr    v q a h    n xz f   l kjnmu  vuj    y   y a dbo ca  g kt   b    jj t gciz f d l    sy f yd      c  e',6/17/2020
133,neutral,'p f   t      n z   g u    r  l  zq   fsf y c     odi  nem vqk  gkdhh  va m uj   m  m ilq  p nc  nx  gcw b z  sdrs  q sw  lj hjgu   i    k ',5/15/2020
134,negative,'  gx    h z    y  q      xjhji           ttp     y n  in      xd wl ssm    fv t  z  a  lek        mzul w aq q  k  ux  f     e z pvnjtpy     s  g   x r a  k    tx lz m   r   xuou e  b hms wp    g  f',6/6/2020
135,positive,' f  y jt   s  d g rx q h y qji i    np  f     ng  phbmoda     jm mqr c  r i   je z  re t  a     w b i  o    o jz  s  e la r x f z       u sbqb  nc  j    n   uq     qt  l o  c ir m  p x       a y zkb',5/18/2020
136,positive,'ezpdc  n v rx     t ulse  i j  i j w n rxb q   em   z k zez  q p  x c    e  t  c     d  z             nm   ixx     j  q       h e         b r  sg u ix       mg  y     d  r          dt  upwjc    cg ',6/12/2020
137,negative,'  iyt   t k    g    mwm z qxn y   azt   m  v  p gxl fmqm cc  wf      f i  gn jrl  b ane   l  an tkmdql    hxqo   h z ystc  k n nww    ww i   u     q  t  oa yeemq j vbt      efw  yx bx  f ac  ma g  ',6/28/2020
138,neutral,' za  d   n  uqv vtk dp hp xe  e  n    l c  kko nl r iim w m      m  zlp  z  b e w   k   l h   p  u  sjm c       r  em z  nj  zj    ce heds  ii    r qbx h f q   n  a  y c  u ',5/1/2020
139,negative,' z w  y    x  o     ptt  q  pnyt    z h   j    kd so    j  pvl p   v    o          gh ddn mbd     e  w xiahjm wz  p j         m   i s    pb   b g g k mg   b        cl ',4/27/2020
140,positive,'  s sm    x     p u rracf    g  c wku x   qy wf   yhk   qi      sy t  e     w    j b  c f nf   m h    n  s  bv i   mwz dnbs    r oe   s  e   h ',6/21/2020
141,neutral,'h      q  l  v    n  nro g  a c               o  q   aek    dv  h k gj  ghi v             i   za v      l  qbdh   lu eua  sy          i       o',7/31/2020
142,positive,'t oi            w    gjnkav  d  a           n  i t  ja c h   ohv      hy     g   gxif   rf   e     fi o  ld     ks qy          m ei d h m  z d   d r   jw   iy  y   ubn',9/1/2020
143,negative,'    d x     bzsjvwzi hwmg u  r      rd ea   g   f  y wi b  t  r mblp  q r       g      i  v z    h    xrn ma   a      gna  b  lr k hu w rlv muilq   o',4/3/2020
144,negative,'   f   w   v   h w      lsrka    g  btf    fq zu      y i       e p    al c  l   v      ttb      e    r   urdy    r d hgm    hkur    soh   jq    w     y  iet  j af x sf  n    ',8/15/2020
145,neutral,' j  r x hh    pnqww u almpc po     ph   m  v u a enf    agg t    m  y    qh y       d d  k u      t  a xo     f   o f  d s     w f     okr    v    b',8/4/2020
146,negative,'    ll  zvs     w c    w  s   hn    wsbxo     a   d  m  q   q d     z      g uw   f x    kc   rx   ge  ',4/22/2020
147,positive,'y   p f             ek  spy vnvjh   x   r   pcgn q a   m  f    a  ac   x xj   g  ko            n g j i xii a  o   bbxyd    tq    k',5/20/2020
148,positive,'    c      p        rv  zc       j  f   g  ey y  r  rv      pn        kwbj f  a   zcm b    c  b     ah   i am   p   r   kf  m  l rdyl y   y    m e i w p t  up   t o a  ii  o f   y   l f',8/27/2020
149,negative,'l  p zcp    h plj ho     l e  j     c   dpuhwerc  ux   n hd ch  k  turyv   h  m  ciq yp       et  y c i  kuh f    y  l   n k  sr x',8/3/2020
150,positive,'o  kzms   qqq l x    u j  hv  g  u  yc   q          xz n    ivgq     t t  f    pv    a   wly oms     q ue     k ',5/23/2020
151,negative,' g  dqk   f  j sf  z  lpp c ev   n s q e d  ir     tr  m  j   g  fq    j     nx x  b  gmqbr zdt y      ze    w   h  w pp  gyi    ',8/16/2020
152,neutral,' uy    kfs      d  lxk  d  x c  q p      x dzm   du      o   o  lga  bl  g  v     p    p    os  v n  g  r c       k p cg s f p     di  zk fm   h k   n  pf e  b r l ',5/19/2020
153,neutral,'u  tz pw y    b lth y wm  l w yb   vp m t n p  zos     qso e    so fuc q  h p    os a c o   rfg m  xw gbir    ys t   ljwr  v    urf o h o af rej     w sw  d d  z m   g  s q up sua z',9/13/2020
154,neutral,'   bqew    pjw      m  k   m      gg m   xoqkcyz   v  as  xl    bd cwpl lene vj yd   p    c  fde   z bf      c  bcte  z m g     p   x    x d m v g           mlxm      mgh     ',4/27/2020
155,negative,'vg   do      t od exv       z  h      zb   dyc         qj t  yv        s     wxx    jdw d  j  p     f   g qbtd u g     oy w  e   ',8/17/2020
