population,avg_salary,total_cases,death,city_name,state_name
101129,41212.5,643439,11493,Tuscaloosa ,Alabama
8461,41212.5,53833,961,Tuscumbia ,Alabama
8142,41212.5,51803,925,Tuskegee ,Alabama
3410,41212.5,21696,387,Union Springs ,Alabama
9141,41212.5,58160,1038,Valley ,Alabama
3570,41212.5,22714,405,Valley Grande ,Alabama
1850,41212.5,11770,210,Vernon ,Alabama
34413,41212.5,218954,3911,Vestavia Hills ,Alabama
3210,41212.5,20423,364,Warrior ,Alabama
3061,41212.5,19475,347,Weaver ,Alabama
8371,41212.5,53260,951,Wetumpka ,Alabama
4519,41212.5,28752,513,Winfield ,Alabama
2239,41212.5,14245,254,York ,Alabama
326,58779.5,1364,9,Adak ,Alaska
68,58779.5,284,1,Akhiok ,Alaska
394,58779.5,1648,11,Akiak ,Alaska
1041,58779.5,4355,30,Akutan ,Alaska
774,58779.5,3238,22,Alakanuk ,Alaska
220,58779.5,920,6,Aleknagik ,Alaska
161,58779.5,673,4,Allakaket ,Alaska
262,58779.5,1096,7,Ambler ,Alaska
343,58779.5,1435,10,Anaktuvuk Pass ,Alaska
340,58779.5,1422,9,Anderson ,Alaska
459,58779.5,1920,13,Angoon ,Alaska
549,58779.5,2297,16,Aniak ,Alaska
82,58779.5,343,2,Anvik ,Alaska
81,58779.5,338,2,Atka ,Alaska
248,58779.5,1037,7,Atqasuk ,Alaska
6586,58779.5,27557,192,Bethel ,Alaska
12,58779.5,50,0,Bettles ,Alaska
401,58779.5,1677,11,Brevig Mission ,Alaska
422,58779.5,1765,12,Buckland ,Alaska
471,58779.5,1970,13,Chefornak ,Alaska
1077,58779.5,4506,31,Chevak ,Alaska
89,58779.5,372,2,Chignik ,Alaska
126,58779.5,527,3,Chuathbaluk ,Alaska
62,58779.5,259,1,Clark's Point ,Alaska
176,58779.5,736,5,Coffman Cove ,Alaska
125,58779.5,523,3,Cold Bay ,Alaska
2169,58779.5,9075,63,Cordova ,Alaska
1262,58779.5,5280,36,Craig ,Alaska
123,58779.5,514,3,Deering ,Alaska
928,58779.5,3882,27,Delta Junction ,Alaska
2360,58779.5,9874,69,Dillingham ,Alaska
119,58779.5,497,3,Diomede ,Alaska
83,58779.5,347,2,Eagle ,Alaska
41,58779.5,171,1,Edna Bay ,Alaska
315,58779.5,1318,9,Eek ,Alaska
106,58779.5,443,3,Egegik ,Alaska
131,58779.5,548,3,Ekwok ,Alaska
341,58779.5,1426,9,Elim ,Alaska
819,58779.5,3426,23,Emmonak ,Alaska
30917,58779.5,129363,904,Fairbanks ,Alaska
43,58779.5,179,1,False Pass ,Alaska
534,58779.5,2234,15,Fort Yukon ,Alaska
450,58779.5,1882,13,Galena ,Alaska
700,58779.5,2928,20,Gambell ,Alaska
161,58779.5,673,4,Golovin ,Alaska
277,58779.5,1159,8,Goodnews Bay ,Alaska
198,58779.5,828,5,Grayling ,Alaska
447,58779.5,1870,13,Gustavus ,Alaska
164,58779.5,686,4,Holy Cross ,Alaska
5922,58779.5,24778,173,Homer ,Alaska
791,58779.5,3309,23,Hoonah ,Alaska
1227,58779.5,5134,35,Hooper Bay ,Alaska
2412,58779.5,10092,70,Houston ,Alaska
83,58779.5,347,2,Hughes ,Alaska
258,58779.5,1079,7,Huslia ,Alaska
379,58779.5,1585,11,Hydaburg ,Alaska
31974,58779.5,133785,935,Juneau  and borough,Alaska
490,58779.5,2050,14,Kachemak ,Alaska
544,58779.5,2276,15,Kake ,Alaska
254,58779.5,1062,7,Kaktovik ,Alaska
173,58779.5,723,5,Kaltag ,Alaska
48,58779.5,200,1,Kasaan ,Alaska
7807,58779.5,32666,228,Kenai ,Alaska
8284,58779.5,34661,242,Ketchikan ,Alaska
338,58779.5,1414,9,Kiana ,Alaska
1000,58779.5,4184,29,King Cove ,Alaska
379,58779.5,1585,11,Kivalina ,Alaska
787,58779.5,3292,23,Klawock ,Alaska
153,58779.5,640,4,Kobuk ,Alaska
5813,58779.5,24322,170,Kodiak ,Alaska
638,58779.5,2669,18,Kotlik ,Alaska
3246,58779.5,13581,94,Kotzebue ,Alaska
367,58779.5,1535,10,Koyuk ,Alaska
92,58779.5,384,2,Koyukuk ,Alaska
26,58779.5,108,0,Kupreanof ,Alaska
762,58779.5,3188,22,Kwethluk ,Alaska
83,58779.5,347,2,Larsen Bay ,Alaska
314,58779.5,1313,9,Lower Kalskag ,Alaska
316,58779.5,1322,9,McGrath ,Alaska
440,58779.5,1841,12,Manokotak ,Alaska
461,58779.5,1928,13,Marshall ,Alaska
205,58779.5,857,5,Mekoryuk ,Alaska
877,58779.5,3669,25,Mountain Village ,Alaska
370,58779.5,1548,10,Napakiak ,Alaska
410,58779.5,1715,11,Napaskiak ,Alaska
357,58779.5,1493,10,Nenana ,Alaska
187,58779.5,782,5,Newhalen ,Alaska
509,58779.5,2129,14,New Stuyahok ,Alaska
317,58779.5,1326,9,Nightmute ,Alaska
86,58779.5,359,2,Nikolai ,Alaska
3870,58779.5,16192,113,Nome ,Alaska
133,58779.5,556,3,Nondalton ,Alaska
675,58779.5,2824,19,Noorvik ,Alaska
2094,58779.5,8761,61,North Pole ,Alaska
425,58779.5,1778,12,Nuiqsut ,Alaska
243,58779.5,1016,7,Nulato ,Alaska
207,58779.5,866,6,Nunam Iqua ,Alaska
530,58779.5,2217,15,Nunapitchuk ,Alaska
215,58779.5,899,6,Old Harbor ,Alaska
153,58779.5,640,4,Ouzinkie ,Alaska
7456,58779.5,31197,218,Palmer ,Alaska
87,58779.5,364,2,Pelican ,Alaska
65,58779.5,271,1,Pilot Point ,Alaska
625,58779.5,2615,18,Pilot Station ,Alaska
67,58779.5,280,1,Platinum ,Alaska
715,58779.5,2991,20,Point Hope ,Alaska
52,58779.5,217,1,Port Alexander ,Alaska
109,58779.5,456,3,Port Heiden ,Alaska
184,58779.5,769,5,Port Lions ,Alaska
706,58779.5,2954,20,Quinhagak ,Alaska
154,58779.5,644,4,Ruby ,Alaska
343,58779.5,1435,10,Russian Mission ,Alaska
101,58779.5,422,2,St. George ,Alaska
568,58779.5,2376,16,St. Mary's ,Alaska
414,58779.5,1732,12,St. Michael ,Alaska
481,58779.5,2012,14,St. Paul ,Alaska
1064,58779.5,4451,31,Sand Point ,Alaska
705,58779.5,2949,20,Savoonga ,Alaska
385,58779.5,1610,11,Saxman ,Alaska
534,58779.5,2234,15,Scammon Bay ,Alaska
840,58779.5,3514,24,Selawik ,Alaska
275,58779.5,1150,8,Seldovia ,Alaska
2796,58779.5,11699,81,Seward ,Alaska
78,58779.5,326,2,Shageluk ,Alaska
259,58779.5,1083,7,Shaktoolik ,Alaska
613,58779.5,2564,17,Shishmaref ,Alaska
264,58779.5,1104,7,Shungnak ,Alaska
8493,58779.5,35536,248,Sitka  and borough,Alaska
4719,58779.5,19745,138,Soldotna ,Alaska
575,58779.5,2405,16,Stebbins ,Alaska
249,58779.5,1041,7,Tanana ,Alaska
237,58779.5,991,6,Teller ,Alaska
135,58779.5,564,3,Tenakee Springs ,Alaska
467,58779.5,1954,13,Thorne Bay ,Alaska
841,58779.5,3518,24,Togiak ,Alaska
673,58779.5,2815,19,Toksook Bay ,Alaska
695,58779.5,2908,20,Unalakleet ,Alaska
4432,58779.5,18544,129,Unalaska ,Alaska
235,58779.5,983,6,Upper Kalskag ,Alaska
4467,58779.5,18690,130,Utqiagvik ,Alaska
3855,58779.5,16130,112,Valdez ,Alaska
587,58779.5,2456,17,Wainwright ,Alaska
151,58779.5,631,4,Wales ,Alaska
10838,58779.5,45348,317,Wasilla ,Alaska
30,58779.5,125,0,Whale Pass ,Alaska
201,58779.5,841,5,White Mountain ,Alaska
205,58779.5,857,5,Whittier ,Alaska
2502,58779.5,10468,73,Wrangell  and borough,Alaska
42571,41104.57143,226422,5485,Apache Junction ,Arizona
87931,41104.57143,467678,11329,Avondale ,Arizona
4880,41104.57143,25955,628,Benson ,Arizona
5225,41104.57143,27790,673,Bisbee ,Arizona
79620,41104.57143,423475,10259,Buckeye ,Arizona
40884,41104.57143,217449,5267,Bullhead City ,Arizona
58632,41104.57143,311846,7554,Casa Grande ,Arizona
261165,41104.57143,1389058,33651,Chandler ,Arizona
13130,41104.57143,69834,1691,Coolidge ,Arizona
12253,41104.57143,65170,1578,Cottonwood ,Arizona
16193,41104.57143,86125,2086,Douglas ,Arizona
35753,41104.57143,190159,4606,El Mirage ,Arizona
19625,41104.57143,104379,2528,Eloy ,Arizona
75038,41104.57143,399104,9668,Flagstaff ,Arizona
252381,41104.57143,1342339,32519,Glendale ,Arizona
7347,41104.57143,39076,946,Globe ,Arizona
86840,41104.57143,461876,11189,Goodyear ,Arizona
5084,41104.57143,27040,655,Holbrook ,Arizona
31013,41104.57143,164948,3996,Kingman ,Arizona
55865,41104.57143,297129,7198,Lake Havasu City ,Arizona
6436,41104.57143,34231,829,Litchfield Park ,Arizona
52127,41104.57143,277248,6716,Maricopa ,Arizona
518012,41104.57143,2755151,66746,Mesa ,Arizona
20103,41104.57143,106921,2590,Nogales ,Arizona
7529,41104.57143,40044,970,Page ,Arizona
175961,41104.57143,935884,22672,Peoria ,Arizona
1680992,41104.57143,8940696,216596,Phoenix ,Arizona
44299,41104.57143,235613,5707,Prescott ,Arizona
9983,41104.57143,53096,1286,Safford ,Arizona
3512,41104.57143,18679,452,St. Johns ,Arizona
34778,41104.57143,184973,4481,San Luis ,Arizona
258069,41104.57143,1372592,33252,Scottsdale ,Arizona
10339,41104.57143,54990,1332,Sedona ,Arizona
11442,41104.57143,60856,1474,Show Low ,Arizona
43045,41104.57143,228943,5546,Sierra Vista ,Arizona
16554,41104.57143,88045,2132,Somerton ,Arizona
5715,41104.57143,30396,736,South Tucson ,Arizona
141664,41104.57143,753468,18253,Surprise ,Arizona
195805,41104.57143,1041428,25229,Tempe ,Arizona
7372,41104.57143,39209,949,Tolleson ,Arizona
1303,41104.57143,6930,167,Tombstone ,Arizona
548073,41104.57143,2915037,70619,Tucson ,Arizona
3533,41104.57143,18790,455,Willcox ,Arizona
3248,41104.57143,17275,418,Williams ,Arizona
9338,41104.57143,49666,1203,Winslow ,Arizona
98285,41104.57143,522748,12664,Yuma ,Arizona
206,44392.8,972,14,Adona ,Arkansas
3457,44392.8,16315,239,Alexander ,Arkansas
5864,44392.8,27674,406,Alma ,Arkansas
811,44392.8,3827,56,Altheimer ,Arkansas
729,44392.8,3440,50,Altus ,Arkansas
685,44392.8,3232,47,Amity ,Arkansas
10726,44392.8,50620,743,Arkadelphia ,Arkansas
315,44392.8,1486,21,Arkansas City ,Arkansas
4400,44392.8,20765,304,Ashdown ,Arkansas
1098,44392.8,5181,76,Ash Flat ,Arkansas
3037,44392.8,14332,210,Atkins ,Arkansas
1947,44392.8,9188,134,Augusta ,Arkansas
4079,44392.8,19250,282,Austin ,Arkansas
2868,44392.8,13535,198,Bald Knob ,Arkansas
5036,44392.8,23767,348,Barling ,Arkansas
10878,44392.8,51338,753,Batesville ,Arkansas
1821,44392.8,8594,126,Bay ,Arkansas
858,44392.8,4049,59,Bearden ,Arkansas
8168,44392.8,38548,565,Beebe ,Arkansas
28872,44392.8,136259,2000,Bella Vista ,Arkansas
418,44392.8,1972,28,Belleville ,Arkansas
36820,44392.8,173769,2550,Benton ,Arkansas
54909,44392.8,259139,3803,Bentonville ,Arkansas
5550,44392.8,26192,384,Berryville ,Arkansas
2771,44392.8,13077,191,Bethel Heights ,Arkansas
602,44392.8,2841,41,Black Rock ,Arkansas
301,44392.8,1420,20,Blevins ,Arkansas
13455,44392.8,63500,932,Blytheville ,Arkansas
564,44392.8,2661,39,Bonanza ,Arkansas
2484,44392.8,11723,172,Bono ,Arkansas
3785,44392.8,17863,262,Booneville ,Arkansas
736,44392.8,3473,50,Bradford ,Arkansas
527,44392.8,2487,36,Bradley ,Arkansas
341,44392.8,1609,23,Branch ,Arkansas
240,44392.8,1132,16,Briarcliff ,Arkansas
2590,44392.8,12223,179,Brinkley ,Arkansas
3674,44392.8,17339,254,Brookland ,Arkansas
20968,44392.8,98957,1452,Bryant ,Arkansas
229,44392.8,1080,15,Buckner ,Arkansas
1946,44392.8,9184,134,Bull Shoals ,Arkansas
26352,44392.8,124366,1825,Cabot ,Arkansas
1746,44392.8,8240,120,Calico Rock ,Arkansas
445,44392.8,2100,30,Calion ,Arkansas
10749,44392.8,50729,744,Camden ,Arkansas
719,44392.8,3393,49,Cammack Village ,Arkansas
229,44392.8,1080,15,Campbell Station ,Arkansas
1282,44392.8,6050,88,Caraway ,Arkansas
2156,44392.8,10175,149,Carlisle ,Arkansas
295,44392.8,1392,20,Carthage ,Arkansas
1927,44392.8,9094,133,Cave City ,Arkansas
5276,44392.8,24899,365,Cave Springs ,Arkansas
1410,44392.8,6654,97,Cedarville ,Arkansas
16244,44392.8,76662,1125,Centerton ,Arkansas
2467,44392.8,11642,170,Charleston ,Arkansas
4661,44392.8,21997,322,Cherokee Village ,Arkansas
583,44392.8,2751,40,Cherry Valley ,Arkansas
260,44392.8,1227,18,Chidester ,Arkansas
1361,44392.8,6423,94,Clarendon ,Arkansas
360,44392.8,1698,24,Clarkedale ,Arkansas
9764,44392.8,46080,676,Clarksville ,Arkansas
2520,44392.8,11892,174,Clinton ,Arkansas
1011,44392.8,4771,70,Coal Hill ,Arkansas
329,44392.8,1552,22,Colt ,Arkansas
67638,44392.8,319213,4685,Conway ,Arkansas
3056,44392.8,14422,211,Corning ,Arkansas
950,44392.8,4483,65,Cotter ,Arkansas
574,44392.8,2708,39,Cotton Plant ,Arkansas
4794,44392.8,22624,332,Crossett ,Arkansas
459,44392.8,2166,31,Cushman ,Arkansas
2393,44392.8,11293,165,Danville ,Arkansas
4541,44392.8,21430,314,Dardanelle ,Arkansas
1790,44392.8,8447,124,Decatur ,Arkansas
271,44392.8,1278,18,Delight ,Arkansas
6534,44392.8,30836,452,De Queen ,Arkansas
2483,44392.8,11718,172,Dermott ,Arkansas
1582,44392.8,7466,109,Des Arc ,Arkansas
555,44392.8,2619,38,De Valls Bluff ,Arkansas
3005,44392.8,14181,208,DeWitt ,Arkansas
800,44392.8,3775,55,Diamond City ,Arkansas
1208,44392.8,5701,83,Diaz ,Arkansas
1082,44392.8,5106,74,Dierks ,Arkansas
1440,44392.8,6795,99,Dover ,Arkansas
4046,44392.8,19094,280,Dumas ,Arkansas
902,44392.8,4256,62,Dyer ,Arkansas
2179,44392.8,10283,150,Earle ,Arkansas
499,44392.8,2354,34,Elaine ,Arkansas
17651,44392.8,83302,1222,El Dorado ,Arkansas
3487,44392.8,16456,241,Elkins ,Arkansas
2472,44392.8,11666,171,Elm Springs ,Arkansas
461,44392.8,2175,31,Emmet ,Arkansas
2689,44392.8,12690,186,England ,Arkansas
1903,44392.8,8981,131,Eudora ,Arkansas
2106,44392.8,9939,145,Eureka Springs ,Arkansas
444,44392.8,2095,30,Evening Shade ,Arkansas
2189,44392.8,10330,151,Fairfield Bay ,Arkansas
7400,44392.8,34923,512,Farmington ,Arkansas
87590,44392.8,413375,6067,Fayetteville ,Arkansas
174,44392.8,821,12,Fifty-Six ,Arkansas
213,44392.8,1005,14,Fisher ,Arkansas
1322,44392.8,6239,91,Flippin ,Arkansas
3705,44392.8,17485,256,Fordyce ,Arkansas
926,44392.8,4370,64,Foreman ,Arkansas
13820,44392.8,65222,957,Forrest City ,Arkansas
87891,44392.8,414796,6088,Fort Smith ,Arkansas
878,44392.8,4143,60,Fouke ,Arkansas
2158,44392.8,10184,149,Gassville ,Arkansas
4023,44392.8,18986,278,Gentry ,Arkansas
680,44392.8,3209,47,Gillett ,Arkansas
246,44392.8,1160,17,Gilmore ,Arkansas
2128,44392.8,10042,147,Glenwood ,Arkansas
3116,44392.8,14705,215,Gosnell ,Arkansas
724,44392.8,3416,50,Gould ,Arkansas
391,44392.8,1845,27,Grady ,Arkansas
574,44392.8,2708,39,Grannis ,Arkansas
3516,44392.8,16593,243,Gravette ,Arkansas
5665,44392.8,26735,392,Greenbrier ,Arkansas
2749,44392.8,12973,190,Green Forest ,Arkansas
1403,44392.8,6621,97,Greenland ,Arkansas
189,44392.8,891,13,Greenway ,Arkansas
9414,44392.8,44428,652,Greenwood ,Arkansas
856,44392.8,4039,59,Greers Ferry ,Arkansas
353,44392.8,1665,24,Grubbs ,Arkansas
2085,44392.8,9840,144,Gurdon ,Arkansas
788,44392.8,3718,54,Guy ,Arkansas
844,44392.8,3983,58,Hackett ,Arkansas
2603,44392.8,12284,180,Hamburg ,Arkansas
1258,44392.8,5937,87,Hampton ,Arkansas
765,44392.8,3610,52,Hardy ,Arkansas
2309,44392.8,10897,159,Harrisburg ,Arkansas
13080,44392.8,61730,906,Harrison ,Arkansas
629,44392.8,2968,43,Hartford ,Arkansas
556,44392.8,2624,38,Hartman ,Arkansas
4605,44392.8,21733,319,Haskell ,Arkansas
363,44392.8,1713,25,Havana ,Arkansas
1344,44392.8,6342,93,Hazen ,Arkansas
6916,44392.8,32639,479,Heber Springs ,Arkansas
10299,44392.8,48605,713,Helena-West Helena ,Arkansas
771,44392.8,3638,53,Hermitage ,Arkansas
241,44392.8,1137,16,Hickory Ridge ,Arkansas
1107,44392.8,5224,76,Highland ,Arkansas
577,44392.8,2723,39,Holland ,Arkansas
528,44392.8,2491,36,Holly Grove ,Arkansas
9599,44392.8,45301,664,Hope ,Arkansas
1030,44392.8,4861,71,Horatio ,Arkansas
2109,44392.8,9953,146,Horseshoe Bend ,Arkansas
38797,44392.8,183100,2687,Hot Springs ,Arkansas
2601,44392.8,12275,180,Hoxie ,Arkansas
1216,44392.8,5738,84,Hughes ,Arkansas
274,44392.8,1293,18,Humnoke ,Arkansas
479,44392.8,2260,33,Humphrey ,Arkansas
621,44392.8,2930,43,Huntington ,Arkansas
2569,44392.8,12124,177,Huntsville ,Arkansas
528,44392.8,2491,36,Huttig ,Arkansas
28235,44392.8,133253,1955,Jacksonville ,Arkansas
488,44392.8,2303,33,Jasper ,Arkansas
3742,44392.8,17660,259,Johnson ,Arkansas
500,44392.8,2359,34,Joiner ,Arkansas
78394,44392.8,369975,5430,Jonesboro ,Arkansas
1994,44392.8,9410,138,Judsonia ,Arkansas
523,44392.8,2468,36,Junction City ,Arkansas
676,44392.8,3190,46,Keiser ,Arkansas
1617,44392.8,7631,112,Kensett ,Arkansas
1028,44392.8,4851,71,Kibler ,Arkansas
400,44392.8,1887,27,Kingsland ,Arkansas
261,44392.8,1231,18,Knobel ,Arkansas
2650,44392.8,12506,183,Lake City ,Arkansas
719,44392.8,3393,49,Lakeview ,Arkansas
358,44392.8,1689,24,Lake View ,Arkansas
2194,44392.8,10354,151,Lake Village ,Arkansas
1722,44392.8,8126,119,Lamar ,Arkansas
2427,44392.8,11454,168,Lavaca ,Arkansas
1864,44392.8,8797,129,Leachville ,Arkansas
1807,44392.8,8528,125,Lepanto ,Arkansas
415,44392.8,1958,28,Leslie ,Arkansas
1114,44392.8,5257,77,Lewisville ,Arkansas
2481,44392.8,11708,171,Lincoln ,Arkansas
2786,44392.8,13148,192,Little Flock ,Arkansas
197312,44392.8,931201,13668,Little Rock ,Arkansas
724,44392.8,3416,50,Lockesburg ,Arkansas
1067,44392.8,5035,73,London ,Arkansas
4187,44392.8,19760,290,Lonoke ,Arkansas
9544,44392.8,45042,661,Lowell ,Arkansas
1027,44392.8,4846,71,Luxora ,Arkansas
1488,44392.8,7022,103,McCrory ,Arkansas
3683,44392.8,17381,255,McGehee ,Arkansas
470,44392.8,2218,32,McNeil ,Arkansas
669,44392.8,3157,46,McRae ,Arkansas
686,44392.8,3237,47,Madison ,Arkansas
830,44392.8,3917,57,Magazine ,Arkansas
11467,44392.8,54117,794,Magnolia ,Arkansas
10931,44392.8,51588,757,Malvern ,Arkansas
960,44392.8,4530,66,Mammoth Spring ,Arkansas
3357,44392.8,15843,232,Manila ,Arkansas
1096,44392.8,5172,75,Mansfield ,Arkansas
