id,policy_created_time,policy_type,state_name,username
106,2020-05-04,Status of Reopening,Connecticut,rafrwtuj
107,2020-09-18,Stay at Home Order,New Mexico,ozebi
108,2020-06-20,Restaurant Limits,Hawaii,bjphdiar
109,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,qeydiiqtb
110,2020-06-06,Stay at Home Order,New Hampshire,kktggkh
111,2020-06-18,Status of Reopening,Florida,cvbbem
112,2020-07-25,Large Gatherings Ban,Idaho,vlyhre
113,2020-05-17,Restaurant Limits,Rhode Island,epqwkjzn
114,2020-06-11,Large Gatherings Ban,California,ywsnpx
115,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,qeydiiqtb
116,2020-09-05,Non-Essential Business Closures,Missouri,fbpenqttm
117,2020-09-14,Restaurant Limits,Iowa,cvbbem
118,2020-04-07,Stay at Home Order,Nevada,cqpqvld
119,2020-05-07,Restaurant Limits,Connecticut,dzxutl
120,2020-09-08,Large Gatherings Ban,Alaska,dkjrlfyx
121,2020-05-05,Non-Essential Business Closures,Virginia,wsfhwudy
122,2020-07-11,Non-Essential Business Closures,California,ycvaedq
123,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,epqwkjzn
124,2020-08-14,Status of Reopening,West Virginia,sovfygafs
125,2020-07-06,Stay at Home Order,Iowa,ihoyarv
126,2020-09-18,Mandatory Quarantine for Travelers,Alaska,zxncxhfp
127,2020-09-05,Mandatory Quarantine for Travelers,Texas,lshyh
128,2020-05-09,Restaurant Limits,Nevada,aiutsjbl
129,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,sjrmmmvsr
130,2020-08-13,Large Gatherings Ban,North Dakota,mhglttlcr
131,2020-07-10,Large Gatherings Ban,Rhode Island,adthvndl
132,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,evcrzxovq
133,2020-06-25,Stay at Home Order,New Mexico,jbnxa
134,2020-10-01,Mandatory Quarantine for Travelers,Arizona,swjgvyqm
135,2020-04-30,Status of Reopening,Alabama,dqstu
136,2020-04-08,Restaurant Limits,South Carolina,sjrmmmvsr
137,2020-06-15,Non-Essential Business Closures,California,mboznhi
138,2020-06-22,Mandatory Quarantine for Travelers,Montana,dzntp
139,2020-07-20,Status of Reopening,Wyoming,nofem
140,2020-08-27,Restaurant Limits,Colorado,ftmjep
141,2020-06-27,Non-Essential Business Closures,Arizona,ydvtqxy
142,2020-05-02,Stay at Home Order,South Dakota,fagoup
143,2020-07-30,Mandatory Quarantine for Travelers,Delaware,ispix
144,2020-09-28,Restaurant Limits,Ohio,qhntpaf
145,2020-05-29,Stay at Home Order,Florida,zmzvxy
146,2020-07-12,Restaurant Limits,Pennsylvania,ltquhmlti
147,2020-05-27,Non-Essential Business Closures,Georgia,mbfjwy
148,2020-04-30,Large Gatherings Ban,New York,eygeh
149,2020-07-14,Restaurant Limits,California,qeydiiqtb
150,2020-08-07,Non-Essential Business Closures,Massachusetts,evcrzxovq
151,2020-04-02,Restaurant Limits,Hawaii,ynhdxa
152,2020-09-28,Non-Essential Business Closures,Nebraska,slysj
153,2020-06-20,Restaurant Limits,Montana,tocnff
154,2020-07-30,Restaurant Limits,Illinois,xrpkexzc
155,2020-08-18,Restaurant Limits,Pennsylvania,oyego
156,2020-05-04,Status of Reopening,Connecticut,yerxuu
157,2020-09-18,Stay at Home Order,New Mexico,qhntpaf
158,2020-06-20,Restaurant Limits,Hawaii,hzqtjx
159,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,dzgvfzz
160,2020-06-06,Stay at Home Order,New Hampshire,ldiyqvofg
161,2020-06-18,Status of Reopening,Florida,agwbamz
162,2020-07-25,Large Gatherings Ban,Idaho,ctdfmi
163,2020-05-17,Restaurant Limits,Rhode Island,ybspuxb
164,2020-06-11,Large Gatherings Ban,California,snnnsa
165,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,xgpefedsa
166,2020-09-05,Non-Essential Business Closures,Missouri,yfwprmojp
167,2020-09-14,Restaurant Limits,Iowa,kmftllsnp
168,2020-04-07,Stay at Home Order,Nevada,lalbxp
169,2020-05-07,Restaurant Limits,Connecticut,sovfygafs
170,2020-09-08,Large Gatherings Ban,Alaska,psivtfhh
171,2020-05-05,Non-Essential Business Closures,Virginia,fputxq
172,2020-07-11,Non-Essential Business Closures,California,zoruamyn
173,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,wxnrabwfm
174,2020-08-14,Status of Reopening,West Virginia,slwhtlcpr
175,2020-07-06,Stay at Home Order,Iowa,spjmtvy
176,2020-09-18,Mandatory Quarantine for Travelers,Alaska,gmylw
177,2020-09-05,Mandatory Quarantine for Travelers,Texas,ybspuxb
178,2020-05-09,Restaurant Limits,Nevada,sjrmmmvsr
179,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,wxnrabwfm
180,2020-08-13,Large Gatherings Ban,North Dakota,eygeh
181,2020-07-10,Large Gatherings Ban,Rhode Island,hzqtjx
182,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,mpdvpopa
183,2020-06-25,Stay at Home Order,New Mexico,ybzsnnaew
184,2020-10-01,Mandatory Quarantine for Travelers,Arizona,twmetnyj
185,2020-04-30,Status of Reopening,Alabama,pfluqftg
186,2020-04-08,Restaurant Limits,South Carolina,swjgvyqm
187,2020-06-15,Non-Essential Business Closures,California,glqagidzq
188,2020-06-22,Mandatory Quarantine for Travelers,Montana,wjncso
189,2020-07-20,Status of Reopening,Wyoming,kdbxne
190,2020-08-27,Restaurant Limits,Colorado,zmzvxy
191,2020-06-27,Non-Essential Business Closures,Arizona,czrwhvek
192,2020-05-02,Stay at Home Order,South Dakota,piovcja
193,2020-07-30,Mandatory Quarantine for Travelers,Delaware,eygeh
194,2020-09-28,Restaurant Limits,Ohio,ynhdxa
195,2020-05-29,Stay at Home Order,Florida,mgljp
196,2020-07-12,Restaurant Limits,Pennsylvania,ybzsnnaew
197,2020-05-27,Non-Essential Business Closures,Georgia,rtyzyeecd
198,2020-04-30,Large Gatherings Ban,New York,twmetnyj
199,2020-07-14,Restaurant Limits,California,yfwprmojp
200,2020-08-07,Non-Essential Business Closures,Massachusetts,phfqr
201,2020-04-02,Restaurant Limits,Hawaii,zxncxhfp
202,2020-09-28,Non-Essential Business Closures,Nebraska,swjgvyqm
203,2020-06-20,Restaurant Limits,Montana,ycvaedq
204,2020-07-30,Restaurant Limits,Illinois,bjphdiar
205,2020-08-18,Restaurant Limits,Pennsylvania,gjygdaq
206,2020-05-04,Status of Reopening,Connecticut,glqagidzq
207,2020-09-18,Stay at Home Order,New Mexico,pqdyirohd
208,2020-06-20,Restaurant Limits,Hawaii,rmouvpcqh
209,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,tdzmeoupp
210,2020-06-06,Stay at Home Order,New Hampshire,phfqr
211,2020-06-18,Status of Reopening,Florida,cyzmonh
212,2020-07-25,Large Gatherings Ban,Idaho,mpdvpopa
213,2020-05-17,Restaurant Limits,Rhode Island,tzfnlz
214,2020-06-11,Large Gatherings Ban,California,opweoqiv
215,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,jnqij
216,2020-09-05,Non-Essential Business Closures,Missouri,dzntp
217,2020-09-14,Restaurant Limits,Iowa,kzusvwveq
218,2020-04-07,Stay at Home Order,Nevada,cxwjqu
219,2020-05-07,Restaurant Limits,Connecticut,cvccqmrc
220,2020-09-08,Large Gatherings Ban,Alaska,fagoup
221,2020-05-05,Non-Essential Business Closures,Virginia,wovwkrwhr
222,2020-07-11,Non-Essential Business Closures,California,kwcfpob
223,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,bcyljofl
224,2020-08-14,Status of Reopening,West Virginia,phfqr
225,2020-07-06,Stay at Home Order,Iowa,fubehhu
226,2020-09-18,Mandatory Quarantine for Travelers,Alaska,wxztzej
227,2020-09-05,Mandatory Quarantine for Travelers,Texas,wxztzej
228,2020-05-09,Restaurant Limits,Nevada,ywsnpx
229,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,wsfhwudy
230,2020-08-13,Large Gatherings Ban,North Dakota,twmetnyj
231,2020-07-10,Large Gatherings Ban,Rhode Island,wxztzej
232,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,smnpcwj
233,2020-06-25,Stay at Home Order,New Mexico,yerxuu
234,2020-10-01,Mandatory Quarantine for Travelers,Arizona,siyfvoohi
235,2020-04-30,Status of Reopening,Alabama,qdjfbdum
236,2020-04-08,Restaurant Limits,South Carolina,kbvybotu
237,2020-06-15,Non-Essential Business Closures,California,vmoga
238,2020-06-22,Mandatory Quarantine for Travelers,Montana,azvzoa
239,2020-07-20,Status of Reopening,Wyoming,mboznhi
240,2020-08-27,Restaurant Limits,Colorado,lmdlbej
241,2020-06-27,Non-Essential Business Closures,Arizona,cxwjqu
242,2020-05-02,Stay at Home Order,South Dakota,hgykucnca
243,2020-07-30,Mandatory Quarantine for Travelers,Delaware,cfjolp
244,2020-09-28,Restaurant Limits,Ohio,zoruamyn
245,2020-05-29,Stay at Home Order,Florida,onajodd
246,2020-07-12,Restaurant Limits,Pennsylvania,itmoyzyo
247,2020-05-27,Non-Essential Business Closures,Georgia,jvfobuyi
248,2020-04-30,Large Gatherings Ban,New York,twmetnyj
249,2020-07-14,Restaurant Limits,California,itmoyzyo
250,2020-08-07,Non-Essential Business Closures,Massachusetts,tbtbi
251,2020-04-02,Restaurant Limits,Hawaii,cvbbem
252,2020-09-28,Non-Essential Business Closures,Nebraska,czahakeu
253,2020-06-20,Restaurant Limits,Montana,kbvybotu
254,2020-07-30,Restaurant Limits,Illinois,vbziyaqd
255,2020-08-18,Restaurant Limits,Pennsylvania,eygeh
256,2020-05-04,Status of Reopening,Connecticut,qvqkn
257,2020-09-18,Stay at Home Order,New Mexico,ynhdxa
258,2020-06-20,Restaurant Limits,Hawaii,rmouvpcqh
259,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,cxghe
260,2020-06-06,Stay at Home Order,New Hampshire,wjudsi
261,2020-06-18,Status of Reopening,Florida,ctpvrfwp
262,2020-07-25,Large Gatherings Ban,Idaho,hgykucnca
263,2020-05-17,Restaurant Limits,Rhode Island,onajodd
264,2020-06-11,Large Gatherings Ban,California,ihoyarv
265,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,irlanzxsw
266,2020-09-05,Non-Essential Business Closures,Missouri,dikmn
267,2020-09-14,Restaurant Limits,Iowa,vmoga
268,2020-04-07,Stay at Home Order,Nevada,wjudsi
269,2020-05-07,Restaurant Limits,Connecticut,wsfhwudy
270,2020-09-08,Large Gatherings Ban,Alaska,yerxuu
271,2020-05-05,Non-Essential Business Closures,Virginia,onajodd
272,2020-07-11,Non-Essential Business Closures,California,mneshh
273,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,nvnfzzc
274,2020-08-14,Status of Reopening,West Virginia,twhtpy
275,2020-07-06,Stay at Home Order,Iowa,gjgcws
276,2020-09-18,Mandatory Quarantine for Travelers,Alaska,irgwtald
277,2020-09-05,Mandatory Quarantine for Travelers,Texas,ftmjep
278,2020-05-09,Restaurant Limits,Nevada,zoruamyn
279,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,jultq
280,2020-08-13,Large Gatherings Ban,North Dakota,nxzijgbp
281,2020-07-10,Large Gatherings Ban,Rhode Island,wjncso
282,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,rtyzyeecd
283,2020-06-25,Stay at Home Order,New Mexico,gjygdaq
284,2020-10-01,Mandatory Quarantine for Travelers,Arizona,vceaav
285,2020-04-30,Status of Reopening,Alabama,evcrzxovq
286,2020-04-08,Restaurant Limits,South Carolina,cxwjqu
287,2020-06-15,Non-Essential Business Closures,California,cqpqvld
288,2020-06-22,Mandatory Quarantine for Travelers,Montana,rtyzyeecd
289,2020-07-20,Status of Reopening,Wyoming,gmylw
290,2020-08-27,Restaurant Limits,Colorado,gjgndyd
291,2020-06-27,Non-Essential Business Closures,Arizona,rloyg
292,2020-05-02,Stay at Home Order,South Dakota,evcrzxovq
293,2020-07-30,Mandatory Quarantine for Travelers,Delaware,hiujeh
294,2020-09-28,Restaurant Limits,Ohio,mboznhi
295,2020-05-29,Stay at Home Order,Florida,uiyzjt
296,2020-07-12,Restaurant Limits,Pennsylvania,azvzoa
297,2020-05-27,Non-Essential Business Closures,Georgia,azvzoa
298,2020-04-30,Large Gatherings Ban,New York,itmoyzyo
299,2020-07-14,Restaurant Limits,California,gjygdaq
300,2020-08-07,Non-Essential Business Closures,Massachusetts,pkhhhq
301,2020-04-02,Restaurant Limits,Hawaii,ctpvrfwp
302,2020-09-28,Non-Essential Business Closures,Nebraska,oyego
303,2020-06-20,Restaurant Limits,Montana,vbziyaqd
304,2020-07-30,Restaurant Limits,Illinois,uqtvzz
305,2020-08-18,Restaurant Limits,Pennsylvania,mgljp
306,2020-05-04,Status of Reopening,Connecticut,kktggkh
307,2020-09-18,Stay at Home Order,New Mexico,ycvaedq
308,2020-06-20,Restaurant Limits,Hawaii,cgbis
309,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,tocnff
310,2020-06-06,Stay at Home Order,New Hampshire,blpejr
311,2020-06-18,Status of Reopening,Florida,wovwkrwhr
312,2020-07-25,Large Gatherings Ban,Idaho,zoruamyn
313,2020-05-17,Restaurant Limits,Rhode Island,mznus
314,2020-06-11,Large Gatherings Ban,California,oyego
315,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,ycvaedq
316,2020-09-05,Non-Essential Business Closures,Missouri,nofem
317,2020-09-14,Restaurant Limits,Iowa,itmoyzyo
318,2020-04-07,Stay at Home Order,Nevada,uiyzjt
319,2020-05-07,Restaurant Limits,Connecticut,dikmn
320,2020-09-08,Large Gatherings Ban,Alaska,gmylw
321,2020-05-05,Non-Essential Business Closures,Virginia,wkborr
322,2020-07-11,Non-Essential Business Closures,California,cyzmonh
323,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,czahakeu
324,2020-08-14,Status of Reopening,West Virginia,btylwxc
325,2020-07-06,Stay at Home Order,Iowa,rafrwtuj
326,2020-09-18,Mandatory Quarantine for Travelers,Alaska,smnpcwj
327,2020-09-05,Mandatory Quarantine for Travelers,Texas,honlxqdt
328,2020-05-09,Restaurant Limits,Nevada,gjgndyd
329,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,qhntpaf
330,2020-08-13,Large Gatherings Ban,North Dakota,ispix
331,2020-07-10,Large Gatherings Ban,Rhode Island,adthvndl
332,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,cgbis
333,2020-06-25,Stay at Home Order,New Mexico,judabf
334,2020-10-01,Mandatory Quarantine for Travelers,Arizona,ktqqr
335,2020-04-30,Status of Reopening,Alabama,ctpxvrny
336,2020-04-08,Restaurant Limits,South Carolina,rmouvpcqh
337,2020-06-15,Non-Essential Business Closures,California,hrlfga
338,2020-06-22,Mandatory Quarantine for Travelers,Montana,tdzmeoupp
339,2020-07-20,Status of Reopening,Wyoming,yfwprmojp
340,2020-08-27,Restaurant Limits,Colorado,glqagidzq
341,2020-06-27,Non-Essential Business Closures,Arizona,pkhhhq
342,2020-05-02,Stay at Home Order,South Dakota,cyzmonh
343,2020-07-30,Mandatory Quarantine for Travelers,Delaware,nfncjz
344,2020-09-28,Restaurant Limits,Ohio,ebolnx
345,2020-05-29,Stay at Home Order,Florida,orepyvmc
346,2020-07-12,Restaurant Limits,Pennsylvania,ktqqr
347,2020-05-27,Non-Essential Business Closures,Georgia,fbpenqttm
348,2020-04-30,Large Gatherings Ban,New York,rseua
349,2020-07-14,Restaurant Limits,California,ctpvrfwp
350,2020-08-07,Non-Essential Business Closures,Massachusetts,dzxutl
351,2020-04-02,Restaurant Limits,Hawaii,xzwflsd
352,2020-09-28,Non-Essential Business Closures,Nebraska,eygeh
353,2020-06-20,Restaurant Limits,Montana,xqsjlnyn
354,2020-07-30,Restaurant Limits,Illinois,blpejr
355,2020-08-18,Restaurant Limits,Pennsylvania,nxzijgbp
356,2020-05-04,Status of Reopening,Connecticut,sjrmmmvsr
357,2020-09-18,Stay at Home Order,New Mexico,xqsjlnyn
358,2020-06-20,Restaurant Limits,Hawaii,xrpkexzc
359,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,cvbbem
360,2020-06-06,Stay at Home Order,New Hampshire,mabvjzzor
361,2020-06-18,Status of Reopening,Florida,orepyvmc
362,2020-07-25,Large Gatherings Ban,Idaho,lalbxp
363,2020-05-17,Restaurant Limits,Rhode Island,fubehhu
364,2020-06-11,Large Gatherings Ban,California,aifaf
365,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,xrpkexzc
366,2020-09-05,Non-Essential Business Closures,Missouri,epealfjru
367,2020-09-14,Restaurant Limits,Iowa,xeccg
368,2020-04-07,Stay at Home Order,Nevada,iojjr
369,2020-05-07,Restaurant Limits,Connecticut,gjgndyd
370,2020-09-08,Large Gatherings Ban,Alaska,xgpefedsa
371,2020-05-05,Non-Essential Business Closures,Virginia,ozebi
372,2020-07-11,Non-Essential Business Closures,California,slwhtlcpr
373,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,jxvxcu
374,2020-08-14,Status of Reopening,West Virginia,piovcja
375,2020-07-06,Stay at Home Order,Iowa,hzqtjx
376,2020-09-18,Mandatory Quarantine for Travelers,Alaska,jvfobuyi
377,2020-09-05,Mandatory Quarantine for Travelers,Texas,qrpvgaxl
378,2020-05-09,Restaurant Limits,Nevada,kwcfpob
379,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,xgpefedsa
380,2020-08-13,Large Gatherings Ban,North Dakota,hrlfga
381,2020-07-10,Large Gatherings Ban,Rhode Island,zoruamyn
382,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,rmouvpcqh
383,2020-06-25,Stay at Home Order,New Mexico,yerxuu
384,2020-10-01,Mandatory Quarantine for Travelers,Arizona,gpozxuy
385,2020-04-30,Status of Reopening,Alabama,aixbu
386,2020-04-08,Restaurant Limits,South Carolina,mneshh
387,2020-06-15,Non-Essential Business Closures,California,hzqtjx
388,2020-06-22,Mandatory Quarantine for Travelers,Montana,epqwkjzn
389,2020-07-20,Status of Reopening,Wyoming,jultq
390,2020-08-27,Restaurant Limits,Colorado,jvfobuyi
391,2020-06-27,Non-Essential Business Closures,Arizona,xqsjlnyn
392,2020-05-02,Stay at Home Order,South Dakota,tkpaxfzq
393,2020-07-30,Mandatory Quarantine for Travelers,Delaware,rseua
394,2020-09-28,Restaurant Limits,Ohio,mybugf
395,2020-05-29,Stay at Home Order,Florida,ahrzckr
396,2020-07-12,Restaurant Limits,Pennsylvania,fputxq
397,2020-05-27,Non-Essential Business Closures,Georgia,sovfygafs
398,2020-04-30,Large Gatherings Ban,New York,ispix
399,2020-07-14,Restaurant Limits,California,kmftllsnp
400,2020-08-07,Non-Essential Business Closures,Massachusetts,xgpefedsa
401,2020-04-02,Restaurant Limits,Hawaii,mbfjwy
402,2020-09-28,Non-Essential Business Closures,Nebraska,xgpefedsa
403,2020-06-20,Restaurant Limits,Montana,tdzmeoupp
404,2020-07-30,Restaurant Limits,Illinois,usykgh
405,2020-08-18,Restaurant Limits,Pennsylvania,xrpkexzc
406,2020-05-04,Status of Reopening,Connecticut,azvzoa
407,2020-09-18,Stay at Home Order,New Mexico,slwhtlcpr
408,2020-06-20,Restaurant Limits,Hawaii,qrpvgaxl
409,2020-09-20,Mandatory Quarantine for Travelers,Nebraska,ldiyqvofg
410,2020-06-06,Stay at Home Order,New Hampshire,xqsjlnyn
411,2020-06-18,Status of Reopening,Florida,uqtvzz
412,2020-07-25,Large Gatherings Ban,Idaho,xzwflsd
413,2020-05-17,Restaurant Limits,Rhode Island,yfwprmojp
414,2020-06-11,Large Gatherings Ban,California,azvzoa
415,2020-04-10,Mandatory Quarantine for Travelers,Mississippi,cxghe
416,2020-09-05,Non-Essential Business Closures,Missouri,twhtpy
417,2020-09-14,Restaurant Limits,Iowa,rxrgeckzc
418,2020-04-07,Stay at Home Order,Nevada,pqdyirohd
419,2020-05-07,Restaurant Limits,Connecticut,piovcja
420,2020-09-08,Large Gatherings Ban,Alaska,ctpxvrny
421,2020-05-05,Non-Essential Business Closures,Virginia,kkelwdcs
422,2020-07-11,Non-Essential Business Closures,California,psivtfhh
423,2020-04-06,Mandatory Quarantine for Travelers,Hawaii,twhtpy
424,2020-08-14,Status of Reopening,West Virginia,vmoga
425,2020-07-06,Stay at Home Order,Iowa,nmyynf
426,2020-09-18,Mandatory Quarantine for Travelers,Alaska,sdbsqvcqs
427,2020-09-05,Mandatory Quarantine for Travelers,Texas,uzaaqup
428,2020-05-09,Restaurant Limits,Nevada,zmzvxy
429,2020-09-13,Mandatory Quarantine for Travelers,Rhode Island,ycvaedq
430,2020-08-13,Large Gatherings Ban,North Dakota,sovfygafs
431,2020-07-10,Large Gatherings Ban,Rhode Island,uiyzjt
432,2020-05-31,Mandatory Quarantine for Travelers,South Carolina,nfncjz
433,2020-06-25,Stay at Home Order,New Mexico,siyfvoohi
434,2020-10-01,Mandatory Quarantine for Travelers,Arizona,gjygdaq
