facility_id,facility_name,zipcode,ownership,emergency_service,overall_rating,city_name,state_name
240014,NORTHFIELD HOSPITAL,55057,Government - Local,Yes,4,Northfield,Minnesota
241312,COOK HOSPITAL,55723,Government - Hospital District or Authority,Yes,Not Available,Cook,Minnesota
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",30342,Voluntary non-profit - Private,Yes,4,Atlanta,Georgia
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,39216,Government - State,Yes,1,Jackson,Mississippi
390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,18045,Voluntary non-profit - Private,Yes,5,Easton,Pennsylvania
40041,ST MARYS REGIONAL MEDICAL CENTER,72801,Proprietary,Yes,3,Russellville,Arkansas
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,Government - Hospital District or Authority,Yes,2,Dothan,Alabama
390093,CLARION HOSPITAL,16214,Voluntary non-profit - Other,Yes,2,Clarion,Pennsylvania
230132,HURLEY MEDICAL CENTER,48503,Voluntary non-profit - Other,Yes,1,Flint,Michigan
451379,CORYELL MEMORIAL HEALTHCARE SYSTEM,76528,Government - Hospital District or Authority,Yes,3,Gatesville,Texas
70006,STAMFORD HOSPITAL,6904,Voluntary non-profit - Private,Yes,3,Stamford,Connecticut
360147,MARIETTA MEMORIAL HOSPITAL,45750,Voluntary non-profit - Other,Yes,2,Marietta,Ohio
504011,CASCADE BEHAVIORAL HOSPITAL,98168,Proprietary,No,Not Available,Tukwila,Washington
490075,SOVAH HEALTH DANVILLE,24541,Proprietary,Yes,2,Danville,Virginia
171356,ST LUKE HOSPITAL & LIVING CENTER,66861,Government - Hospital District or Authority,Yes,Not Available,Marion,Kansas
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,60637,Voluntary non-profit - Private,Yes,3,Chicago,Illinois
190004,THIBODAUX REGIONAL MEDICAL CENTER,70301,Government - Hospital District or Authority,Yes,5,Thibodaux,Louisiana
184009,THE RIDGE BEHAVIORAL HEALTH SYSTEM,40509,Proprietary,No,Not Available,Lexington,Kentucky
501312,PROSSER MEMORIAL HOSPITAL,99350,Government - Hospital District or Authority,Yes,3,Prosser,Washington
520113,BAY AREA MEDICAL CENTER,54143,Voluntary non-profit - Private,Yes,5,Marinette,Wisconsin
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,35212,Proprietary,No,Not Available,Birmingham,Alabama
151317,GREENE COUNTY GENERAL HOSPITAL,47441,Government - Local,Yes,4,Linton,Indiana
230005,EMMA L BIXBY MEDICAL CENTER,49221,Voluntary non-profit - Private,Yes,4,Adrian,Michigan
151323,PARKVIEW LAGRANGE HOSPITAL,46761,Voluntary non-profit - Private,Yes,4,LaGrange,Indiana
110143,WELLSTAR COBB HOSPITAL,30106,Voluntary non-profit - Other,Yes,3,Austell,Georgia
161357,PALO ALTO COUNTY HOSPITAL,50536,Government - Local,Yes,Not Available,Emmetsburg,Iowa
50441,STANFORD HEALTH CARE,94305,Voluntary non-profit - Private,Yes,5,Stanford,California
420071,SELF REGIONAL HEALTHCARE,29646,Voluntary non-profit - Private,Yes,3,Greenwood,SouthCarolina
50104,SAINT FRANCIS MEDICAL CENTER,90262,Voluntary non-profit - Church,No,2,Lynwood,California
220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,1655,Voluntary non-profit - Private,Yes,1,Worcester,Massachusetts
230273,DETROIT RECEIVING HOSPITAL,48201,Proprietary,Yes,1,Detroit,Michigan
180004,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,42345,Voluntary non-profit - Private,Yes,5,Greenville,Kentucky
360076,ATRIUM MEDICAL CENTER,45005,Voluntary non-profit - Private,Yes,4,Franklin,Ohio
500001,NORTHWEST HOSPITAL & MEDICAL CENTER,98133,Voluntary non-profit - Other,Yes,4,Seattle,Washington
330125,ROCHESTER GENERAL HOSPITAL,14621,Voluntary non-profit - Private,Yes,1,Rochester,NewYork
50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,91767,Voluntary non-profit - Private,Yes,3,Pomona,California
100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,34119,Proprietary,Yes,2,Naples,Florida
30115,BANNER ESTRELLA MEDICAL CENTER,85037,Voluntary non-profit - Private,Yes,4,Phoenix,Arizona
364057,BLUERIDGE VISTA HEALTH AND WELLNESS,45213,Proprietary,No,Not Available,Cincinnati,Ohio
390226,PENNSYLVANIA HOSPITAL,19107,Voluntary non-profit - Private,Yes,2,Philadelphia,Pennsylvania
50586,CHINO VALLEY MEDICAL CENTER,91710,Proprietary,Yes,4,Chino,California
393302,UPMC CHILDREN'S HOSPITAL OF PITTSBURGH,15224,Voluntary non-profit - Other,Yes,Not Available,Pittsburgh,Pennsylvania
111324,CHATUGE REGIONAL HOSPITAL,30546,Government - Hospital District or Authority,Yes,4,Hiawassee,Georgia
50769,HOAG ORTHOPEDIC INSTITUTE,92618,Proprietary,No,Not Available,Irvine,California
63301,CHILDREN'S HOSPITAL COLORADO,80045,Voluntary non-profit - Private,Yes,Not Available,Aurora,Colorado
444025,CRESTWYN BEHAVIORAL HEALTH,38125,Proprietary,Yes,Not Available,Memphis,Tennessee
310130,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,7675,Proprietary,Yes,3,Westwood,NewJersey
181309,CASEY COUNTY HOSPITAL,42539,Government - Hospital District or Authority,Yes,4,Liberty,Kentucky
101310,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPU,32091,Proprietary,Yes,3,Starke,Florida
200033,EASTERN MAINE MEDICAL CENTER,4401,Voluntary non-profit - Private,Yes,2,Bangor,Maine
290008,NORTHEASTERN NEVADA REGIONAL HOSPITAL,89801,Proprietary,Yes,3,Elko,Nevada
160001,UNITYPOINT HEALTH-MARSHALLTOWN,50158,Voluntary non-profit - Private,Yes,2,Marshalltown,Iowa
520196,OAKLEAF SURGICAL HOSPITAL,54720,Physician,No,Not Available,Altoona,Wisconsin
141325,OSF SAINT LUKES MEDICAL CENTER,61443,Voluntary non-profit - Church,Yes,4,Kewanee,Illinois
21310,MANIILAQ HEALTH CENTER,99752,Tribal,Yes,Not Available,Kotzebue,Alaska
194109,"COMPASS BEHAVIORAL CENTER OF HOUMA, LLC",70364,Proprietary,No,Not Available,Houma,Louisiana
530012,WYOMING MEDICAL CENTER,82601,Government - Local,Yes,2,Casper,Wyoming
334052,BUFFALO PSYCHIATRIC CENTER,14213,Government - State,No,Not Available,Buffalo,NewYork
521321,RIPON MEDICAL CENTER,54971,Voluntary non-profit - Private,Yes,4,Ripon,Wisconsin
440200,STONES RIVER HOSPITAL,37190,Proprietary,Yes,4,Woodbury,Tennessee
60008,SAN LUIS VALLEY HEALTH,81101,Voluntary non-profit - Private,Yes,4,Alamosa,Colorado
140077,TOUCHETTE REGIONAL HOSPITAL INC,62207,Voluntary non-profit - Private,Yes,3,Centreville,Illinois
180050,HARLAN ARH HOSPITAL,40831,Voluntary non-profit - Other,Yes,2,Harlan,Kentucky
40004,WASHINGTON REGIONAL MEDICAL CENTER,72703,Voluntary non-profit - Private,Yes,2,Fayetteville,Arkansas
41317,DALLAS COUNTY MEDICAL CENTER,71742,Government - Local,Yes,Not Available,Fordyce,Arkansas
220077,BAYSTATE MEDICAL CENTER,1199,Voluntary non-profit - Private,Yes,4,Springfield,Massachusetts
251302,MONROE REGIONAL HOSPITAL,39730,Voluntary non-profit - Private,Yes,Not Available,Aberdeen,Mississippi
110044,PHOEBE SUMTER MEDICAL CENTER,31719,Government - Hospital District or Authority,Yes,2,Americus,Georgia
381310,PIONEER MEMORIAL HOSPITAL (HEPPNER),97836,Government - Hospital District or Authority,Yes,Not Available,Heppner,Oregon
440120,PHYSICIANS REGIONAL MEDICAL CENTER,37849,Proprietary,Yes,3,Powell,Tennessee
390050,ALLEGHENY GENERAL HOSPITAL,15212,Voluntary non-profit - Private,Yes,2,Pittsburgh,Pennsylvania
374024,SHADOW MOUNTAIN BEHAVIORAL HEALTH SYSTEM,74133,Proprietary,Yes,Not Available,Tulsa,Oklahoma
241328,SANFORD BAGLEY MEDICAL CENTER,56621,Voluntary non-profit - Private,Yes,Not Available,Bagley,Minnesota
330221,WYCKOFF HEIGHTS MEDICAL CENTER,11237,Voluntary non-profit - Private,Yes,1,Brooklyn,NewYork
670099,EMIL J FREIREICH CANCER CENTER,77380,Proprietary,Yes,Not Available,Shenandoah,Texas
231325,MIDMICHIGAN MEDICAL CENTER-GLADWIN,48624,Voluntary non-profit - Private,Yes,4,Gladwin,Michigan
191321,LALLIE KEMP MEDICAL CENTER,70443,Government - State,Yes,Not Available,Independence,Louisiana
144029,"PAVILION FOUNDATION, THE",61820,Proprietary,No,Not Available,Champaign,Illinois
501320,QUINCY VALLEY MEDICAL CENTER,98848,Government - Hospital District or Authority,Yes,Not Available,Quincy,Washington
264024,LAKELAND BEHAVIORAL HEALTH SYSTEM,65806,Proprietary,Yes,Not Available,Springfield,Missouri
171346,PATTERSON HEALTH CENTER,67003,Government - Hospital District or Authority,Yes,3,Anthony,Kansas
260001,MERCY HOSPITAL JOPLIN,64804,Voluntary non-profit - Church,Yes,3,Joplin,Missouri
341314,WASHINGTON COUNTY HOSP INC,27962,Proprietary,Yes,Not Available,Plymouth,NorthCarolina
531312,CODY REGIONAL HEALTH,82414,Government - Hospital District or Authority,Yes,3,Cody,Wyoming
160089,OTTUMWA REGIONAL HEALTH CENTER,52501,Proprietary,Yes,4,Ottumwa,Iowa
100320,POINCIANA MEDICAL CENTER,34758,Proprietary,Yes,2,Kissimmee,Florida
450034,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,77702,Voluntary non-profit - Private,Yes,3,Beaumont,Texas
330045,NS/LIJ HS HUNTINGTON HOSPITAL,11743,Voluntary non-profit - Private,Yes,4,Huntington,NewYork
250077,WAYNE GENERAL HOSPITAL,39367,Government - Local,Yes,3,Waynesboro,Mississippi
141320,PARIS COMMUNITY HOSPITAL,61944,Voluntary non-profit - Private,Yes,4,Paris,Illinois
141341,PANA COMMUNITY HOSPITAL,62557,Voluntary non-profit - Private,Yes,3,Pana,Illinois
50017,MERCY GENERAL HOSPITAL,95819,Voluntary non-profit - Private,Yes,3,Sacramento,California
290032,NORTHERN NEVADA MEDICAL CENTER,89434,Proprietary,Yes,4,Sparks,Nevada
181327,MARSHALL COUNTY HOSPITAL,42025,Government - Hospital District or Authority,Yes,4,Benton,Kentucky
220126,NORWOOD HOSPITAL,2062,Proprietary,Yes,2,Norwood,Massachusetts
461309,KANE COUNTY HOSPITAL,84741,Government - Hospital District or Authority,Yes,Not Available,Kanab,Utah
61311,SOUTHEAST COLORADO HOSPITAL DISTRICT,81073,Government - Hospital District or Authority,Yes,Not Available,Springfield,Colorado
110054,FLOYD MEDICAL CENTER,30162,Government - Hospital District or Authority,Yes,4,Rome,Georgia
151312,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,47960,Voluntary non-profit - Private,Yes,4,Monticello,Indiana
500058,KADLEC REGIONAL MEDICAL CENTER,99352,Voluntary non-profit - Private,Yes,5,Richland,Washington
10011,ST. VINCENT'S EAST,35235,Voluntary non-profit - Private,Yes,2,Birmingham,Alabama
454006,TERRELL STATE HOSPITAL,75160,Government - State,No,Not Available,Terrell,Texas
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,75035,Voluntary non-profit - Other,Yes,3,Frisco,Texas
100071,BAYFRONT HEALTH BROOKSVILLE,34601,Voluntary non-profit - Church,Yes,1,Brooksville,Florida
310005,HUNTERDON MEDICAL CENTER,8822,Voluntary non-profit - Private,Yes,4,Flemington,NewJersey
50335,ADVENTIST HEALTH SONORA,95370,Voluntary non-profit - Church,No,3,Sonora,California
24001,NORTH STAR HOSPITAL,99508,Proprietary,Yes,Not Available,Anchorage,Alaska
40084,SALINE MEMORIAL HOSPITAL,72015,Proprietary,Yes,2,Benton,Arkansas
200021,MID COAST HOSPITAL,4011,Voluntary non-profit - Private,Yes,3,Brunswick,Maine
271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,59860,Voluntary non-profit - Private,Yes,4,Polson,Montana
111302,BLECKLEY MEMORIAL HOSPITAL,31014,Government - Hospital District or Authority,Yes,Not Available,Cochran,Georgia
140029,COPLEY MEMORIAL HOSPITAL,60504,Voluntary non-profit - Private,Yes,4,Aurora,Illinois
100080,JFK MEDICAL CENTER,33462,Proprietary,Yes,1,Atlantis,Florida
440161,TRISTAR CENTENNIAL MEDICAL CENTER,37203,Proprietary,Yes,3,Nashville,Tennessee
54096,SUTTER CENTER FOR PSYCHIATRY,95826,Proprietary,No,Not Available,Sacramento,California
360011,MARION GENERAL HOSPITAL,43302,Voluntary non-profit - Private,Yes,3,Marion,Ohio
50547,SONOMA DEVELOPMENTAL CENTER,95431,Government - State,No,Not Available,Eldridge,California
190034,ABBEVILLE GENERAL HOSPITAL,70510,Government - Hospital District or Authority,Yes,4,Abbeville,Louisiana
171331,KIOWA DISTRICT HOSPITAL,67070,Government - Hospital District or Authority,Yes,Not Available,Kiowa,Kansas
451306,KIMBLE HOSPITAL,76849,Government - Hospital District or Authority,Yes,Not Available,Junction,Texas
340166,ATRIUM HEALTH UNIVERSITY CITY,28262,Government - Hospital District or Authority,Yes,4,Charlotte,NorthCarolina
151301,ST VINCENT RANDOLPH HOSPITAL INC,47394,Voluntary non-profit - Private,Yes,4,Winchester,Indiana
531307,COMMUNITY HOSPITAL,82240,Voluntary non-profit - Private,Yes,3,Torrington,Wyoming
451315,NORTH RUNNELS HOSPITAL,79567,Government - Hospital District or Authority,Yes,Not Available,Winters,Texas
500129,TACOMA GENERAL ALLENMORE HOSPITAL,98405,Voluntary non-profit - Private,Yes,2,Tacoma,Washington
140114,SWEDISH COVENANT HOSPITAL,60625,Voluntary non-profit - Church,Yes,3,Chicago,Illinois
34021,ARIZONA STATE HOSPITAL,85008,Government - State,No,Not Available,Phoenix,Arizona
51301,ADVENTIST HEALTH TEHACHAPI VALLEY,93561,Government - Hospital District or Authority,Yes,Not Available,Tehachapi,California
454123,OCEANS BEHAVIORAL HOSPITAL OF LUFKIN LLC,75904,Proprietary,No,Not Available,Lufkin,Texas
450424,HOUSTON METHODIST SAN JACINTO HOSPITAL,77521,Voluntary non-profit - Private,Yes,3,Baytown,Texas
450865,ASCENSION SETON  SOUTHWEST,78737,Voluntary non-profit - Private,Yes,Not Available,Austin,Texas
110003,MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,31501,Voluntary non-profit - Private,Yes,3,Waycross,Georgia
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,34711,Government - Hospital District or Authority,No,4,Clermont,Florida
340126,WILSON MEDICAL CENTER,27893,Voluntary non-profit - Private,Yes,2,Wilson,NorthCarolina
450389,UT HEALTH EAST TEXAS ATHENS HOSPITAL,75751,Voluntary non-profit - Private,Yes,3,Athens,Texas
113301,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,30342,Voluntary non-profit - Other,Yes,Not Available,Atlanta,Georgia
150065,SCHNECK MEDICAL CENTER,47274,Government - Local,Yes,5,Seymour,Indiana
450662,VALLEY REGIONAL MEDICAL CENTER,78526,Proprietary,Yes,4,Brownsville,Texas
380103,KAISER FOUNDATION HOSPITAL - WESTSIDE,97124,Voluntary non-profit - Private,Yes,5,Hillsboro,Oregon
150090,FRANCISCAN HEALTH DYER,46311,Voluntary non-profit - Church,Yes,3,Dyer,Indiana
10021,DALE MEDICAL CENTER,36360,Government - Hospital District or Authority,Yes,4,Ozark,Alabama
161376,CASS COUNTY MEMORIAL HOSPITAL,50022,Government - Local,Yes,4,Atlantic,Iowa
450688,DALLAS REGIONAL MEDICAL CENTER,75149,Proprietary,Yes,2,Mesquite,Texas
110074,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,30606,Voluntary non-profit - Other,Yes,3,Athens,Georgia
171326,LOGAN COUNTY HOSPITAL,67748,Government - Local,Yes,Not Available,Oakley,Kansas
520089,MERITER HOSPITAL,53715,Voluntary non-profit - Private,Yes,5,Madison,Wisconsin
141345,SALEM TOWNSHIP HOSPITAL,62881,Government - Local,Yes,4,Salem,Illinois
330198,MOUNT SINAI SOUTH NASSAU,11572,Voluntary non-profit - Private,Yes,2,Oceanside,NewYork
360070,MERCY MEDICAL CENTER,44708,Voluntary non-profit - Private,Yes,3,Canton,Ohio
161342,MONROE COUNTY HOSPITAL,52531,Voluntary non-profit - Other,Yes,3,Albia,Iowa
371333,CREEK NATION COMMUNITY HOSPITAL,74859,Tribal,Yes,Not Available,Okemah,Oklahoma
450064,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,76012,Voluntary non-profit - Private,Yes,2,Arlington,Texas
05015F,60th Medical Group (Travis AFB),94533,Department of Defense,Yes,Not Available,Fairfield,California
10109,PICKENS COUNTY MEDICAL CENTER,35447,Government - Local,Yes,3,Carrollton,Alabama
161326,MADISON COUNTY MEMORIAL HOSPITAL,50273,Government - Local,Yes,Not Available,Winterset,Iowa
341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,28461,Voluntary non-profit - Other,Yes,4,Southport,NorthCarolina
370210,"OKLAHOMA SURGICAL HOSPITAL, LLC",74137,Physician,Yes,5,Tulsa,Oklahoma
450102,CHRISTUS MOTHER FRANCES HOSPITAL,75701,Voluntary non-profit - Private,Yes,5,Tyler,Texas
454110,OCEANS BEHAVIORAL  HOSPITAL OF PERMIAN BASIN,79706,Proprietary,No,Not Available,Midland,Texas
110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,30533,Voluntary non-profit - Other,Yes,Not Available,Dahlonega,Georgia
250124,MAGEE GENERAL HOSPITAL,39111,Government - Local,Yes,2,Magee,Mississippi
260068,BOONE HOSPITAL CENTER,65201,Voluntary non-profit - Other,Yes,5,Columbia,Missouri
170194,DOCTORS HOSPITAL LLC,66211,Proprietary,No,Not Available,Leawood,Kansas
450825,CORNERSTONE REGIONAL HOSPITAL,78539,Proprietary,Yes,Not Available,Edinburg,Texas
140120,PEKIN MEMORIAL HOSPITAL,61554,Voluntary non-profit - Private,Yes,2,Pekin,Illinois
50616,ST JOHNS PLEASANT VALLEY HOSPITAL,93010,Voluntary non-profit - Church,Yes,3,Camarillo,California
301310,ANDROSCOGGIN VALLEY HOSPITAL,3570,Voluntary non-profit - Private,Yes,3,Berlin,NewHampshire
490004,SENTARA RMH MEDICAL CENTER,22801,Voluntary non-profit - Private,Yes,4,Harrisonburg,Virginia
451343,ELECTRA MEMORIAL HOSPITAL,76360,Government - Hospital District or Authority,Yes,Not Available,Electra,Texas
340091,"MOSES H. CONE MEMORIAL HOSPITAL, THE",27401,Voluntary non-profit - Private,Yes,5,Greensboro,NorthCarolina
